geneID pathway
12189 1221633_Meiotic_Synapsis
13006 1221633_Meiotic_Synapsis
15077 1221633_Meiotic_Synapsis
15078 1221633_Meiotic_Synapsis
15270 1221633_Meiotic_Synapsis
15512 1221633_Meiotic_Synapsis
16905 1221633_Meiotic_Synapsis
16906 1221633_Meiotic_Synapsis
19357 1221633_Meiotic_Synapsis
20842 1221633_Meiotic_Synapsis
20843 1221633_Meiotic_Synapsis
20957 1221633_Meiotic_Synapsis
20962 1221633_Meiotic_Synapsis
21749 1221633_Meiotic_Synapsis
21750 1221633_Meiotic_Synapsis
22196 1221633_Meiotic_Synapsis
23856 1221633_Meiotic_Synapsis
24061 1221633_Meiotic_Synapsis
28113 1221633_Meiotic_Synapsis
50878 1221633_Meiotic_Synapsis
56739 1221633_Meiotic_Synapsis
57321 1221633_Meiotic_Synapsis
64009 1221633_Meiotic_Synapsis
66654 1221633_Meiotic_Synapsis
69386 1221633_Meiotic_Synapsis
71846 1221633_Meiotic_Synapsis
74075 1221633_Meiotic_Synapsis
77053 1221633_Meiotic_Synapsis
94244 1221633_Meiotic_Synapsis
97114 1221633_Meiotic_Synapsis
97122 1221633_Meiotic_Synapsis
97908 1221633_Meiotic_Synapsis
101185 1221633_Meiotic_Synapsis
140557 1221633_Meiotic_Synapsis
223697 1221633_Meiotic_Synapsis
260423 1221633_Meiotic_Synapsis
319148 1221633_Meiotic_Synapsis
319149 1221633_Meiotic_Synapsis
319150 1221633_Meiotic_Synapsis
319151 1221633_Meiotic_Synapsis
319152 1221633_Meiotic_Synapsis
319153 1221633_Meiotic_Synapsis
319154 1221633_Meiotic_Synapsis
319155 1221633_Meiotic_Synapsis
319156 1221633_Meiotic_Synapsis
319157 1221633_Meiotic_Synapsis
319158 1221633_Meiotic_Synapsis
319159 1221633_Meiotic_Synapsis
319160 1221633_Meiotic_Synapsis
319161 1221633_Meiotic_Synapsis
319565 1221633_Meiotic_Synapsis
320332 1221633_Meiotic_Synapsis
320558 1221633_Meiotic_Synapsis
326619 1221633_Meiotic_Synapsis
326620 1221633_Meiotic_Synapsis
360198 1221633_Meiotic_Synapsis
497652 1221633_Meiotic_Synapsis
544973 1221633_Meiotic_Synapsis
625328 1221633_Meiotic_Synapsis
667250 1221633_Meiotic_Synapsis
100041230 1221633_Meiotic_Synapsis
102641229 1221633_Meiotic_Synapsis
102641751 1221633_Meiotic_Synapsis
102642045 1221633_Meiotic_Synapsis
11865 1368092_Rora_activates_gene_expression
12753 1368092_Rora_activates_gene_expression
12894 1368092_Rora_activates_gene_expression
18143 1368092_Rora_activates_gene_expression
19017 1368092_Rora_activates_gene_expression
19883 1368092_Rora_activates_gene_expression
20787 1368092_Rora_activates_gene_expression
217166 1368092_Rora_activates_gene_expression
328572 1368092_Rora_activates_gene_expression
11865 1368110_Bmal1:Clock,Npas2_activates_circadian_gene_expression
11998 1368110_Bmal1:Clock,Npas2_activates_circadian_gene_expression
12753 1368110_Bmal1:Clock,Npas2_activates_circadian_gene_expression
12952 1368110_Bmal1:Clock,Npas2_activates_circadian_gene_expression
12953 1368110_Bmal1:Clock,Npas2_activates_circadian_gene_expression
13170 1368110_Bmal1:Clock,Npas2_activates_circadian_gene_expression
14068 1368110_Bmal1:Clock,Npas2_activates_circadian_gene_expression
18143 1368110_Bmal1:Clock,Npas2_activates_circadian_gene_expression
18626 1368110_Bmal1:Clock,Npas2_activates_circadian_gene_expression
18627 1368110_Bmal1:Clock,Npas2_activates_circadian_gene_expression
19013 1368110_Bmal1:Clock,Npas2_activates_circadian_gene_expression
19883 1368110_Bmal1:Clock,Npas2_activates_circadian_gene_expression
20893 1368110_Bmal1:Clock,Npas2_activates_circadian_gene_expression
59027 1368110_Bmal1:Clock,Npas2_activates_circadian_gene_expression
79362 1368110_Bmal1:Clock,Npas2_activates_circadian_gene_expression
217166 1368110_Bmal1:Clock,Npas2_activates_circadian_gene_expression
11461 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
11465 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
11651 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
11652 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
12313 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
12314 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
12315 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
16568 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
16569 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
16579 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
17274 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
17884 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
17886 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
17913 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
17918 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
19079 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
19082 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
19325 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
19341 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
20336 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
20528 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
20619 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
20909 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
20912 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
22318 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
22627 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
22628 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
22629 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
22630 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
22631 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
53413 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
54401 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
55948 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
56044 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
57915 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
66482 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
68328 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
68365 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
68938 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
69940 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
102058 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
105504 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
107371 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
108079 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
108097 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
108099 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
210789 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
211446 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
240028 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
241113 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
241694 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
100039786 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
102634437 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
102641200 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
102641764 1445146_Translocation_of_Glut4_to_the_Plasma_Membrane
18012 186574_Endocrine-committed_Ngn3+_progenitor_cells
18088 186574_Endocrine-committed_Ngn3+_progenitor_cells
18506 186574_Endocrine-committed_Ngn3+_progenitor_cells
53626 186574_Endocrine-committed_Ngn3+_progenitor_cells
11925 186589_Late_stage_branching_morphogenesis_pancreatic_bud_precursor_cells
15205 186589_Late_stage_branching_morphogenesis_pancreatic_bud_precursor_cells
21410 186589_Late_stage_branching_morphogenesis_pancreatic_bud_precursor_cells
246086 186589_Late_stage_branching_morphogenesis_pancreatic_bud_precursor_cells
11651 186601_Regulation_of_gene_expression_in_beta_cells
15377 186601_Regulation_of_gene_expression_in_beta_cells
15378 186601_Regulation_of_gene_expression_in_beta_cells
15874 186601_Regulation_of_gene_expression_in_beta_cells
16333 186601_Regulation_of_gene_expression_in_beta_cells
18096 186601_Regulation_of_gene_expression_in_beta_cells
18609 186601_Regulation_of_gene_expression_in_beta_cells
18770 186601_Regulation_of_gene_expression_in_beta_cells
20526 186601_Regulation_of_gene_expression_in_beta_cells
30942 186601_Regulation_of_gene_expression_in_beta_cells
56458 186601_Regulation_of_gene_expression_in_beta_cells
103988 186601_Regulation_of_gene_expression_in_beta_cells
11651 186666_FOXO1-mediated_regulation_of_Pdx1_expression
56458 186666_FOXO1-mediated_regulation_of_Pdx1_expression
15379 186674_Early_stage_pancreatic_precursor_cells
18096 186674_Early_stage_pancreatic_precursor_cells
18609 186674_Early_stage_pancreatic_precursor_cells
19213 186674_Early_stage_pancreatic_precursor_cells
